date,log_return
2010-01-05,0.003110831966759875
2010-01-06,0.0005453718878234426
2010-01-07,0.003993218354654715
2010-01-08,0.0028775830750955578
2010-01-11,0.0017452316285844205
2010-01-12,-0.00942544643894383
2010-01-13,0.008291456333360259
2010-01-14,0.0024234864214136564
2010-01-15,-0.010882126301208217
2010-01-19,0.012422151207736931
2010-01-20,-0.010654386601861354
2010-01-21,-0.019126657272988012
2010-01-22,-0.022389779630108464
2010-01-25,0.004587559053796042
2010-01-26,-0.004212057847785999
2010-01-27,0.004868282868612184
2010-01-28,-0.011888125534279759
2010-01-29,-0.009877799049982094
2010-02-01,0.014165305546369744
2010-02-02,0.012889520445202862
2010-02-03,-0.005489350382538838
2010-02-04,-0.03163585604980668
2010-02-05,0.0028929303608267176
2010-02-08,-0.008902803100374612
2010-02-09,0.012955841773586663
2010-02-10,-0.0022350694280079964
2010-02-11,0.009633882335101873
2010-02-12,-0.002748366119941892
2010-02-16,0.017840653536262074
2010-02-17,0.004229004596710162
2010-02-18,0.006563157733795677
2010-02-19,0.0021842348635905395
2010-02-22,-0.0010464051249199358
2010-02-23,-0.012176644945198767
2010-02-24,0.009673519697190436
2010-02-25,-0.0020832085528654787
2010-02-26,0.0014043925568580917
2010-03-01,0.010107257423602967
2010-03-02,0.002327731002886857
2010-03-03,0.0004291095214004059
2010-03-04,0.0037291560795713607
2010-03-05,0.013910282801603557
2010-03-08,-0.00017561143217648123
2010-03-09,0.0017112720239724766
2010-03-10,0.004514354904213036
2010-03-11,0.004033374313506144
2010-03-12,-0.0002173695700928846
2010-03-15,0.0004520926234361511
2010-03-16,0.007749014983159164
2010-03-17,0.005804795332563728
2010-03-18,-0.00032589912668878895
2010-03-19,-0.005099426451613098
2010-03-22,0.005082359099180422
2010-03-23,0.007145377784800289
2010-03-24,-0.005508447887288881
2010-03-25,-0.0017056210833281682
2010-03-26,0.0007374506159880667
2010-03-29,0.005667146312798188
2010-03-30,4.265846293094455e-05
2010-03-31,-0.0032782423180330866
2010-04-01,0.007386454005524179
2010-04-05,0.007896729443087835
