date,r_pct,sigma_pct,VaR_5,VaR_1
2020-01-02,0.83438953623158,1.455514425047894,-2.0344908034823157,-3.8140790779235814
2020-01-03,-0.70849093649538,1.4555144250479652,-2.0344908034824174,-3.8140790779237705
2020-01-06,0.35271451942726,1.4555144250479906,-2.034490803482454,-3.8140790779238376
2020-01-07,-0.28071750845946,1.4555144250479288,-2.0344908034823654,-3.8140790779236737
2020-01-08,0.48904734856413995,1.4555144250479042,-2.03449080348233,-3.8140790779236085
2020-01-09,0.66332141169063,1.455514425047906,-2.0344908034823326,-3.814079077923613
2020-01-10,-0.28592624875063,1.4555144250479344,-2.0344908034823734,-3.8140790779236884
2020-01-13,0.69519940459343,1.455514425047907,-2.0344908034823344,-3.814079077923616
2020-01-14,-0.15156808368956,1.4555144250479408,-2.0344908034823828,-3.8140790779237057
2020-01-15,0.18684502436876,1.4555144250478993,-2.0344908034823233,-3.8140790779235956
2020-01-16,0.83317474222326,1.4555144250478773,-2.0344908034822917,-3.814079077923537
2020-01-17,0.38547232474837,1.4555144250479577,-2.0344908034824067,-3.8140790779237506
2020-01-21,-0.26555003695847,1.4555144250479173,-2.034490803482349,-3.814079077923643
2020-01-22,0.028903429668140003,1.4555144250478977,-2.034490803482321,-3.814079077923591
2020-01-23,0.1140326193358,1.455514425047874,-2.034490803482287,-3.814079077923528
2020-01-24,-0.90832894261936,1.4555144250478642,-2.034490803482273,-3.8140790779235023
2020-01-27,-1.58557523568436,1.4555144250479979,-2.0344908034824645,-3.814079077923857
2020-01-28,1.00033835003525,1.4555144250483225,-2.0344908034829294,-3.814079077924719
2020-01-29,-0.08672501435853,1.455514425048198,-2.034490803482751,-3.8140790779243883
2020-01-30,0.31294569302104003,1.4555144250480094,-2.034490803482481,-3.814079077923888
2020-01-31,-1.78644435713621,1.455514425047934,-2.0344908034823725,-3.8140790779236875
2020-02-03,0.7228425761232,1.4555144250483996,-2.0344908034830396,-3.8140790779249234
2020-02-04,1.4869315917506298,1.455514425048164,-2.034490803482702,-3.814079077924298
2020-02-05,1.11877786589733,1.4555144250483034,-2.034490803482902,-3.8140790779246685
2020-02-06,0.33201550570023,1.4555144250482257,-2.034490803482791,-3.814079077924462
2020-02-07,-0.54154910094599,1.455514425048031,-2.0344908034825115,-3.814079077923945
2020-02-10,0.72996901205737,1.4555144250479857,-2.0344908034824467,-3.8140790779238247
2020-02-11,0.16870486860032,1.4555144250479828,-2.0344908034824427,-3.814079077923817
2020-02-12,0.6441853105203,1.4555144250479137,-2.0344908034823437,-3.8140790779236338
2020-02-13,-0.16317763599893,1.4555144250479344,-2.0344908034823734,-3.8140790779236884
2020-02-14,0.18418360984853,1.4555144250478969,-2.0344908034823197,-3.814079077923589
2020-02-18,-0.2924213986148,1.4555144250478762,-2.03449080348229,-3.8140790779235343
2020-02-19,0.46947482842849,1.4555144250478822,-2.034490803482299,-3.81407907792355
2020-02-20,-0.38228174279967997,1.4555144250478935,-2.034490803482315,-3.81407907792358
2020-02-21,-1.0573809232820202,1.4555144250479004,-2.0344908034823246,-3.8140790779235982
2020-02-24,-3.4088079420440502,1.4555144250480605,-2.034490803482554,-3.8140790779240232
2020-02-25,-3.07479043753531,1.4555144250497531,-2.0344908034849785,-3.8140790779285174
2020-02-26,-0.37856973235292,1.455514425050169,-2.034490803485574,-3.8140790779296214
2020-02-27,-4.51681363522622,1.4555144250489056,-2.0344908034837643,-3.814079077926267
2020-02-28,-0.82724631096526,1.4555144250514698,-2.0344908034874374,-3.814079077933075
2020-03-02,4.50108687694132,1.455514425049569,-2.0344908034847147,-3.8140790779280285
2020-03-03,-2.85104849229149,1.4555144250516046,-2.03449080348763,-3.814079077933433
2020-03-04,4.1336349360634,1.4555144250507837,-2.0344908034864546,-3.8140790779312534
2020-03-05,-3.4510782439982104,1.4555144250516678,-2.034490803487721,-3.814079077933601
2020-03-06,-1.7200943652385399,1.455514425051392,-2.034490803487326,-3.8140790779328686
2020-03-09,-7.9010412940371895,1.4555144250498917,-2.034490803485177,-3.814079077928885
2020-03-10,4.82150524258591,1.455514425058304,-2.0344908034972264,-3.81407907795122
2020-03-11,-5.01028928086055,1.4555144250559118,-2.0344908034938,-3.8140790779448683
2020-03-12,-9.99448524024728,1.4555144250552838,-2.0344908034929,-3.8140790779432012
2020-03-13,8.88084069492354,1.4555144250663776,-2.0344908035087905,-3.8140790779726554
2020-03-16,-12.7652197472817,1.4555144250678194,-2.0344908035108555,-3.814079077976483
2020-03-17,5.82263126356918,1.4555144250814844,-2.0344908035304283,-3.814079078012764
2020-03-18,-5.3222272332080305,1.4555144250677514,-2.0344908035107583,-3.8140790779763027
2020-03-19,0.46967609704012997,1.4555144250610086,-2.0344908035011002,-3.8140790779584006
2020-03-20,-4.43276240533672,1.4555144250536953,-2.034490803490625,-3.8140790779389837
2020-03-23,-2.97315010095768,1.455514425053472,-2.034490803490305,-3.814079077938391
